Date,AJK_Recovered,AJK_Deaths,"AJK Total 
Positive","AJK
Total 
Infected",Balochistan_Recovered,Balochistan_Deaths,"Balochistan
Total 
Positive","Balochistan Total 
Infected",GB_Recovered,GB_Deaths,"GB Total
Positive","GB Total 
Infected",Islamabad_Recovered,Islamabad_Deaths,"Islamabad 
Total 
Positive","Islamabad_Total 
Infected",KP_Recovered,KP_Deaths,"KP Total 
Positive","KP Total 
Infected",Punjab_Recovered,Punjab_Deaths,"Punjab 
Total P","Punjab 
Total 
Infected",Sindh_Recovered,Sindh_Deaths,"Sindh 
Total P","Sindh
Total 
Infected"
15-Jul-20,"1,049",46,"1,688",593,"7,883",46,"11,239","3,310","1,376",38,"1,708",294,"11,327",155,"14,315","2,833","21,607",1114,"31,001","8,280","64,148",2043,"88,045","21,854","65,420",1863,"107,773","40,490"
16-Jul-20,"1,061",46,"1,771",664,8002,127,"11,322","3,193",1389,38,"1,750",323,11486,156,"14,402","2,760",22260,1120,"31,217","7,837",64247,2051,"88,539","22,241",70292,1888,"108,913","36,733"
17-Jul-20,1077,46,"1,808",685,8161,128,"11,385","3,096",1396,39,"1,775",340,11599,157,"14,454","2,698",22613,1124,"31,486","7,749",64815,2059,"89,023","22,149",74076,1922,"110,068","34,070"
18-Jul-20,1094,46,"1,840",700,8313,131,"11,405","2,961",1409,39,"1,796",348,11708,157,"14,504","2,639",22873,1130,"31,669","7,666",65009,2067,"89,465","22,389",88103,1952,"111,238","21,183"
22-Jul-20,1275,47,"1,937",615,9381,135,"11,469","1,953",1485,45,"1,878",348,12023,161,"14,701","2,517",25582,1153,"32,523","5,788",66425,2095,"90,816","22,296",94297,2041,"114,104","17,766"
24-Jul-20,1361,49,"1,989",579,9818,136,"11,523","1,569",1533,46,"1,918",339,12023,162,"14,766","2,581",26607,1169,"32,898","5,122",68439,2105,"91,423","20,879",100002,2096,"115,883","13,785"
25-Jul-20,1409,49,"2,012",554,9899,136,"11,550","1,515",1548,47,"1,942",347,12139,162,"14,821","2,520",26869,1170,"33,071","5,032",81241,2113,"91,691","8,337",103491,2110,"116,800","11,199"
26-Jul-20,1435,49,"2,023",539,9901,136,"11,578","1,541",1559,47,"1,952",346,12253,163,"14,841","2,425",27017,1176,"33,220","5,027",81250,2116,"91,901","8,535",104019,2135,"117,598","11,444"
27-Jul-20,1449,49,"2,034",536,9976,136,"11,601","1,489",1566,48,"1,989",375,12253,164,"14,884","2,467",27119,1178,"33,397","5,100",81260,2116,"92,073","8,697",107403,2151,"118,311","8,757"
28-Jul-20,1482,49,"2,040",509,10023,136,"11,624","1,465",1613,48,"2,010",349,12377,165,"14,938","2,396",27196,1180,"33,510","5,134",81265,2125,"92,279","8,889",108480,2162,"118,824","8,182"
29-Jul-20,1543,50,"2,055",462,10080,136,"11,654","1,438",1658,50,"2,042",334,12377,165,"14,963","2,421",27724,1186,"33,724","4,814",82512,2133,"92,452","7,807",108989,2172,"119,398","8,237"
30-Jul-20,1583,51,"2,065",431,10097,136,"11,708","1,475",1693,53,"2,090",344,12377,165,"14,987","2,445",28317,1192,"33,845","4,336",82520,2138,"92,655","7,997",109544,2189,"120,052","8,319"
31-Jul-20,1639,54,"2,073",380,10116,136,"11,732","1,480",1719,53,"2,105",333,12494,165,"15,014","2,355",28450,1194,"33,958","4,314",82526,2140,"92,873","8,207",110233,2209,"120,550","8,108"
1-Aug-20,1642,54,"2,084",388,10130,136,"11,743","1,477",1758,54,"2,134",322,12589,165,"15,033","2,279",28629,1199,"34,056","4,228",82541,2142,"93,057","8,374",110738,2220,"121,039","8,081"
2-Aug-20,1642,54,"2,086",390,10136,136,"11,762","1,490",1758,54,"2,157",345,12589,165,"15,052","2,298",28978,1200,"34,160","3,982",82552,2144,"93,173","8,477",110922,2223,"121,309","8,164"
3-Aug-20,1643,54,"2,093",396,10189,136,"11,774","1,449",1779,55,"2,180",346,12678,165,"15,076","2,233",29015,1202,"34,223","4,006",82563,2148,"93,197","8,486","111,006","2,224","121,486","8,256"
5-Aug-20,1804,55,"2,105",246,10227,136,"11,780","1,417",1820,55,"2,218",343,12732,167,"15,122","2,223",29255,1213,"34,324","3,856",85180,2157,"93,571","6,234",113268,2231,"122,016","6,517"
7-Aug-20,1854,57,"2,124",213,10267,137,"11,821","1,417",1861,55,"2,287",371,12833,170,"15,182","2,179",30681,1219,"34,432","2,532",86085,2164,"94,040","5,791",114518,2250,"122,759","5,991"
8-Aug-20,1883,58,"2,129",188,10304,137,"11,835","1,394",1887,55,"2,301",359,12878,171,"15,214","2,165",31447,1222,"34,539","1,870",86240,2166,"94,223","5,817",114965,2259,"123,246","6,022"
9-Aug-20,1883,58,"2,134",193,10326,137,"11,884","1,421",1902,55,"2,321",364,12914,171,"15,241","2,156",31542,1230,"34,635","1,863",86266,2169,"94,360","5,925",115415,2262,"123,546","5,869"
10-Aug-20,1883,58,"2,141",200,10372,138,"11,906","1,396",1914,57,"2,334",363,12969,171,"15,261","2,121",31612,1231,"34,692","1,849",86273,2170,"94,477","6,034",115741,2272,"123,849","5,836"
11-Aug-20,1915,59,"2,150",176,10417,138,"11,921","1,366",1955,57,"2,371",359,12995,171,"15,281","2,115",31691,1231,"34,755","1,833",86289,2174,"94,586","6,123",115984,2282,"124,127","5,861"
